所属模块,用例标题,前置条件,步骤,预期,用例类型,适用阶段
/客户管理,验证客户信息管理页面正确性,"1.在谷歌浏览器输入localhost:8088
2.登录系统
","1.点击客户管理
2.点击客户信息管理","1. 成功跳转至客户信息管理页面
2. 页面正确
",功能测试,版本验证阶段
/客户管理,验证使用正常数据添加客户,"1.在谷歌浏览器输入localhost:8088
2.登录系统
","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.邮箱:123456@qq.com
8.qq:123456
9.微信:13001300006
10.创建时间:当前时间
11.客户状态:潜在客户
12.工作:公司职员
13.收入水平:中等
14.营销人员:当前登录名
15.客户来源:朋友介绍
16.点击添加按钮","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.输入成功
8.输入成功
9.输入成功
10.成功
11.成功
12.成功
13.成功
14.成功
15.成功
16.添加成功并返回页面",功能测试,版本验证阶段
/客户管理,验证输入创建时间添加客户,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.邮箱:123456@qq.com
8.qq:123456
9.微信:13001300006
10.创建时间:2020/2/9
","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.输入成功
8.输入成功
9.输入成功
10.不能输入,输入框为只读
",功能测试,版本验证阶段
/客户管理,验证输入创建人员,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.邮箱:123456@qq.com
8.qq:123456
9.微信:13001300006
10.创建时间:当前时间
11.客户状态:潜在客户
12.工作:公司职员
13.收入水平:中等
14.创建人:admin
","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.输入成功
8.输入成功
9.输入成功
10.成功
11.成功
12.成功
13.成功
14.输入失败,输入框为只读模式
",功能测试,版本验证阶段
/客户管理,验证不输入客户姓名添加,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.点击添加按钮","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.弹出提示信息
4.选择成功
5.输入成功
6.输入成功
7.添加失败",功能测试,版本验证阶段
/客户管理,验证不输入客户年龄添加,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:
6.电话:13001300006
7.点击添加按钮","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.弹出提示信息
6.输入成功
7.添加失败",功能测试,版本验证阶段
/客户管理,验证不输入性别添加,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:
5.年龄:28
6.电话:13001300006
7.点击添加按钮","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.弹出提示信息
5.输入成功
6.输入成功
7.添加失败",功能测试,版本验证阶段
/客户管理,验证工作输入框,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.邮箱:123456@qq.com
8.qq:123456
9.微信:13001300006
10.创建时间:当前时间
11.客户状态:潜在客户
12.点击工作输入框
","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.输入成功
8.输入成功
9.输入成功
10.成功
11.成功
12.弹出下拉框并显示各类职业",功能测试,版本验证阶段
/客户管理,验证客户来源输入框,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.邮箱:123456@qq.com
8.qq:123456
9.微信:13001300006
10.创建时间:当前时间
11.客户状态:潜在客户
12.点击客户来源输入框
","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.输入成功
8.输入成功
9.输入成功
10.成功
11.成功
12.弹出下拉框并显示相应的来源",功能测试,版本验证阶段
/客户管理,验证收入水平输入框,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.创建时间:当前时间
8.客户状态:潜在客户
9.点击收入水平输入框","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.成功
8.成功
9.弹出下拉框并显示相应的来源",功能测试,版本验证阶段
/客户管理,验证营销人员输入框,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击添加 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.创建时间:当前时间
8.客户状态:潜在客户
9.点击营销人员输入框","1.成功跳转至客户信息管理页面
2.成功弹出输入框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.成功
8.成功
9.弹出下拉框并显示公司员工姓名",功能测试,版本验证阶段
/客户管理,验证只填客户姓名的正确性,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.输入客户姓名
2.点击保存","1.输入成功
2.保存失败弹出提示信息",功能测试,版本验证阶段
/客户管理,验证只填客户年龄的正确性,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.输入客户年龄
2.点击保存","1.输入成功
2.保存失败弹出提示信息",功能测试,版本验证阶段
/客户管理,验证只填客户性别的正确性,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.输入客户性别
2.点击保存","1.输入成功
2.保存失败弹出提示信息",功能测试,版本验证阶段
/客户管理,验证只填写电话号码的正确性,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.输入电话号码
2.点击保存","1.输入成功
2.保存失败弹出提示信息",功能测试,版本验证阶段
/客户管理,验证不填的正确性,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击添加
2.点击保存","1.输入成功
2.保存失败弹出提示信息",功能测试,版本验证阶段
/客户管理,验证不选择任一客户进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.点击编辑
","1.成功跳转至客户信息管理页面
2.弹出提示框
",功能测试,版本验证阶段
